año,trimestre,provincia,banda_ancha_fija,dial_up,total
2020,2,Santa Cruz,38.672,197.0,38.869
2020,2,Santa Fe,777.795,137.0,777.932
2020,2,Santiago Del Estero,105.446,1.0,105.447
2020,2,Tierra Del Fuego,38.900,289.0,39.189
2020,2,Tucumán,217.134,22.0,217.156
2020,1,Buenos Aires,3.702.985,5.066,3.708.051
2020,1,Capital Federal,1.352.104,1.39,1.353.494
2020,1,Catamarca,39.634,1.0,39.635
2020,1,Chaco,120.274,3.0,120.277
2020,1,Chubut,95.938,800.0,96.738
2020,1,Córdoba,811.044,55.0,811.099
2020,1,Corrientes,113.967,3.0,113.970
2020,1,Entre Ríos,231.833,13.0,231.846
2020,1,Formosa,46.434,0.0,46.434
2020,1,Jujuy,91.665,0.0,91.665
2020,1,La Pampa,89.110,116.0,89.226
2020,1,La Rioja,48.337,3.0,48.340
2020,1,Mendoza,182.837,615.0,183.452
2020,1,Misiones,133.552,0.0,133.552
2020,1,Neuquén,121.354,373.0,121.727
2020,1,Río Negro,125.699,501.0,126.200
2020,1,Salta,170.379,2.0,170.381
2020,1,San Juan,63.975,256.0,64.231
2020,1,San Luis,110.404,148.0,110.552
2020,1,Santa Cruz,38.625,197.0,38.822
2020,1,Santa Fe,770.981,137.0,771.118
2020,1,Santiago Del Estero,102.754,1.0,102.755
2020,1,Tierra Del Fuego,38.505,289.0,38.794
2020,1,Tucumán,200.045,22.0,200.067
2019,4,Buenos Aires,3.681.120,5.134,3.686.254
2019,4,Capital Federal,1.356.695,1.41,1.358.105
2019,4,Catamarca,38.310,1.0,38.311
2019,4,Chaco,117.900,3.0,117.903
2019,4,Chubut,95.292,810.0,96.102
2019,4,Córdoba,806.633,55.0,806.688
2019,4,Corrientes,113.831,3.0,113.834
2019,4,Entre Ríos,239.017,13.0,239.030
2019,4,Formosa,46.711,0.0,46.711
2019,4,Jujuy,88.881,0.0,88.881
2019,4,La Pampa,90.280,119.0,90.399
2019,4,La Rioja,48.999,3.0,49.002
2019,4,Mendoza,185.157,623.0,185.780
2019,4,Misiones,135.813,0.0,135.813
2019,4,Neuquén,116.069,376.0,116.445
2019,4,Río Negro,126.636,504.0,127.140
2019,4,Salta,172.443,2.0,172.445
2019,4,San Juan,64.715,259.0,64.974
2019,4,San Luis,108.053,148.0,108.201
2019,4,Santa Cruz,39.170,200.0,39.370
2019,4,Santa Fe,769.019,150.0,769.169
2019,4,Santiago Del Estero,103.587,1.0,103.588
2019,4,Tierra Del Fuego,40.101,291.0,40.392
2019,4,Tucumán,198.621,23.0,198.644
2019,3,Buenos Aires,3.950.114,10.119,3.960.233
2019,3,Capital Federal,1.437.734,3.477,1.441.211
2019,3,Catamarca,32.391,9.0,32.400
2019,3,Chaco,114.438,13.0,114.451
2019,3,Chubut,87.481,1.524,89.005
2019,3,Córdoba,782.946,107.0,783.053
2019,3,Corrientes,112.749,10.0,112.759
2019,3,Entre Ríos,238.057,45.0,238.102
2019,3,Formosa,46.066,0.0,46.066
2019,3,Jujuy,86.575,1.0,86.576
2019,3,La Pampa,90.559,269.0,90.828
2019,3,La Rioja,49.659,18.0,49.677
2019,3,Mendoza,223.015,1.322,224.337
2019,3,Misiones,133.883,0.0,133.883
2019,3,Neuquén,123.435,1.986,125.421
2019,3,Río Negro,143.391,904.0,144.295
2019,3,Salta,151.834,1.0,151.835
2019,3,San Juan,72.535,563.0,73.098
2019,3,San Luis,122.409,291.0,122.700
2019,3,Santa Cruz,37.642,328.0,37.970
2019,3,Santa Fe,760.706,228.0,760.934
2019,3,Santiago Del Estero,133.130,2.0,133.132
2019,3,Tierra Del Fuego,48.043,544.0,48.587
2019,3,Tucumán,164.099,32.0,164.131
2019,2,Buenos Aires,3.845.594,10.104,3.855.698
2019,2,Capital Federal,1.412.177,3.443,1.415.620
2019,2,Catamarca,33.626,9.0,33.635
2019,2,Chaco,108.721,13.0,108.734
2019,2,Chubut,86.038,1.518,87.556
2019,2,Córdoba,775.023,105.0,775.128
2019,2,Corrientes,111.539,10.0,111.549
2019,2,Entre Ríos,235.780,44.0,235.824
2019,2,Formosa,46.438,0.0,46.438
2019,2,Jujuy,86.706,1.0,86.707
2019,2,La Pampa,89.937,268.0,90.205
2019,2,La Rioja,50.283,18.0,50.301
2019,2,Mendoza,222.535,1.322,223.857
2019,2,Misiones,132.878,0.0,132.878
